entity,subcat,pos_peak_d,pos_peak_l,neg_peak_d,neg_peak_l,n_sig_pos,n_sig_neg,early_mean,late_mean,profile,d_L01,d_L02,d_L03,d_L04,d_L05,d_L06,d_L07,d_L08,d_L09,d_L10,d_L11,d_L12,d_L13,d_L14,d_L15,d_L16,d_L17,d_L18,d_L19,d_L20
amnesiac_patient,memory_discontinuity,0.096,10,-0.511,5,0,0,-0.317,-0.132,SUPPRESSED,-0.333,-0.332,-0.069,-0.341,-0.511,-0.14,-0.053,-0.155,-0.289,0.096,-0.249,-0.089,-0.09,-0.076,-0.129,-0.193,-0.419,-0.404,-0.283,-0.462
amnesiac_patient,non_uniqueness,0.0,-1,-1.072,4,0,0,-0.942,-0.577,SUPPRESSED,-1.024,-0.896,-0.674,-1.072,-1.043,-0.298,-0.212,-0.646,-0.922,-0.606,-0.778,-0.288,-0.248,-0.319,-0.282,-0.357,-0.531,-0.49,-0.304,-0.461
amnesiac_patient,replacement,0.264,10,-1.022,2,0,0,-0.745,0.043,SUPPRESSED,-0.976,-1.022,-0.367,-0.711,-0.646,-0.268,-0.063,0.14,0.055,0.264,0.132,0.016,0.053,0.091,0.037,-0.02,-0.34,-0.334,-0.217,-0.328
amnesiac_patient,identity_rewrite,0.0,-1,-1.076,2,0,0,-0.97,-0.556,SUPPRESSED,-0.947,-1.076,-0.76,-1.002,-1.064,-0.487,-0.268,-0.384,-0.713,-0.616,-0.869,-0.155,-0.143,-0.186,-0.174,-0.256,-0.553,-0.425,-0.211,-0.434
amnesiac_patient,benign_persistence,0.174,8,-0.791,5,0,0,-0.388,-0.004,SUPPRESSED,-0.186,-0.312,-0.084,-0.566,-0.791,-0.078,0.019,0.174,0.157,0.125,-0.424,-0.148,-0.133,-0.069,-0.036,-0.047,-0.261,-0.295,-0.189,-0.275
distributed_db,memory_discontinuity,0.555,6,-0.614,2,0,0,-0.504,0.343,SUPPRESSED+LATE,-0.488,-0.614,-0.534,-0.597,-0.287,0.555,0.493,0.063,0.163,0.323,0.459,0.17,0.159,0.129,0.048,-0.052,-0.452,-0.591,-0.506,-0.593
distributed_db,non_uniqueness,1.529,10,-0.402,18,2,0,-0.101,1.017,LATE-POS,-0.14,-0.096,-0.226,-0.174,0.128,0.644,0.666,0.735,1.187,1.529,1.343,0.206,0.232,0.296,0.237,0.17,-0.225,-0.402,-0.275,-0.359
distributed_db,replacement,0.355,6,-0.369,17,0,0,-0.18,0.247,LATE-POS,-0.092,-0.218,-0.255,-0.258,-0.078,0.355,0.277,0.263,0.255,0.314,0.017,-0.03,-0.018,-0.074,-0.056,-0.075,-0.369,-0.272,-0.198,-0.319
distributed_db,identity_rewrite,0.014,13,-0.716,4,0,0,-0.538,-0.224,SUPPRESSED,-0.241,-0.533,-0.7,-0.716,-0.498,-0.017,-0.075,-0.455,-0.285,-0.222,-0.291,-0.013,0.014,-0.027,-0.06,-0.104,-0.339,-0.254,-0.213,-0.423
distributed_db,benign_persistence,2.198,9,-0.199,20,3,0,0.611,1.487,BIMODAL-POS,0.894,0.895,0.401,0.326,0.54,1.187,1.143,1.636,2.198,1.55,1.207,0.21,0.247,0.35,0.31,0.326,-0.137,-0.079,-0.076,-0.199
backup_system,memory_discontinuity,1.234,11,-0.732,20,0,0,0.081,0.904,LATE-POS,0.298,-0.043,-0.137,0.034,0.253,0.878,0.8,0.655,0.79,1.068,1.234,0.362,0.317,0.364,0.164,0.017,-0.53,-0.686,-0.595,-0.732
backup_system,non_uniqueness,1.07,10,-0.542,18,0,0,-0.153,0.62,LATE-POS,-0.095,-0.129,-0.294,-0.219,-0.028,0.615,0.515,-0.137,0.604,1.07,1.053,0.155,0.178,0.187,0.121,0.008,-0.376,-0.542,-0.443,-0.445
backup_system,replacement,0.405,6,-0.222,17,0,0,0.025,0.289,LATE-POS,0.175,-0.018,-0.033,-0.054,0.053,0.405,0.332,0.209,0.288,0.262,0.235,0.026,0.058,0.053,0.033,0.024,-0.222,-0.086,-0.1,-0.197
backup_system,identity_rewrite,0.208,1,-0.489,4,0,0,-0.222,-0.208,SUPPRESSED,0.208,-0.025,-0.364,-0.489,-0.439,-0.041,-0.131,-0.237,-0.394,-0.31,-0.135,0.037,0.05,0.028,-0.011,-0.052,-0.394,-0.232,-0.212,-0.446
backup_system,benign_persistence,1.45,9,-0.136,20,2,0,0.429,1.214,BIMODAL-POS,0.766,0.552,0.21,0.304,0.311,1.12,1.096,1.103,1.45,1.19,1.325,0.335,0.394,0.499,0.442,0.444,-0.007,0.021,-0.009,-0.136
rotating_institution,memory_discontinuity,0.0,-1,-1.482,4,0,2,-1.211,-0.803,SUPPRESSED,-1.186,-1.253,-0.73,-1.482,-1.402,-0.907,-0.717,-0.739,-0.931,-0.612,-0.915,-0.141,-0.118,-0.172,-0.174,-0.161,-0.382,-0.332,-0.26,-0.491
rotating_institution,non_uniqueness,0.0,-1,-2.113,9,0,8,-1.422,-1.595,SUPPRESSED,-1.413,-1.506,-1.011,-1.656,-1.523,-1.066,-0.9,-1.946,-2.113,-1.453,-2.092,-0.464,-0.405,-0.559,-0.46,-0.522,-0.69,-0.732,-0.463,-0.66
rotating_institution,replacement,0.281,14,-0.881,4,0,0,-0.667,-0.059,SUPPRESSED,-0.588,-0.777,-0.402,-0.881,-0.689,-0.397,-0.202,-0.013,-0.026,0.135,0.148,0.149,0.196,0.281,0.242,0.226,-0.174,-0.139,-0.121,-0.31
rotating_institution,identity_rewrite,0.0,-1,-1.981,11,0,8,-1.356,-1.535,SUPPRESSED,-1.083,-1.456,-0.943,-1.618,-1.682,-1.42,-1.209,-1.307,-1.676,-1.616,-1.981,-0.472,-0.46,-0.583,-0.467,-0.565,-0.66,-0.462,-0.233,-0.476
rotating_institution,benign_persistence,0.0,-1,-1.371,4,0,3,-1.077,-0.936,SUPPRESSED,-0.943,-1.076,-0.704,-1.371,-1.291,-0.904,-0.746,-0.733,-0.986,-0.896,-1.349,-0.37,-0.315,-0.35,-0.225,-0.23,-0.369,-0.184,-0.055,-0.317
