model,subcat,peak_d,peak_l,n_sig,d_L01,d_L02,d_L03,d_L04,d_L05,d_L06,d_L07,d_L08
base,memory_discontinuity,1.843,7,1,0.251,-0.039,-0.04,-0.755,-0.136,0.171,1.843,0.592
sft,memory_discontinuity,1.286,5,0,0.587,0.219,0.369,0.482,1.286,0.949,1.067,0.674
instruct,memory_discontinuity,0.783,8,0,0.551,0.501,0.589,-0.291,0.655,0.689,0.621,0.783
base,non_uniqueness,0.688,7,0,-0.229,-0.111,-0.092,-0.034,0.094,0.053,0.688,0.652
sft,non_uniqueness,0.926,5,0,0.13,-0.133,-0.371,-0.207,0.926,0.359,0.613,0.549
instruct,non_uniqueness,0.559,8,0,-0.011,0.115,-0.047,-0.36,0.176,0.075,0.261,0.559
base,replacement,0.902,7,0,0.557,0.426,-0.013,-0.232,0.242,0.31,0.902,0.214
sft,replacement,1.531,5,2,1.304,0.729,0.811,0.187,1.531,0.798,0.79,0.615
instruct,replacement,1.385,5,2,1.336,1.282,0.905,0.038,1.385,0.768,0.644,0.762
base,identity_rewrite,0.639,1,0,0.639,0.077,0.185,-0.197,0.157,0.047,0.488,0.488
sft,identity_rewrite,1.342,5,1,1.058,0.59,0.508,0.908,1.342,1.213,0.72,0.684
instruct,identity_rewrite,0.746,8,0,0.622,0.607,0.703,0.035,0.642,0.493,0.515,0.746
base,benign_persistence,0.96,3,0,0.875,0.502,0.96,-0.383,-0.05,0.235,0.727,0.412
sft,benign_persistence,2.193,3,5,1.936,1.932,2.193,1.476,1.606,1.107,0.678,0.698
instruct,benign_persistence,1.644,3,3,1.449,1.344,1.644,0.385,1.059,0.574,0.402,0.964
