entity,subcat,peak_d,peak_layer,n_sig,profile,bimodal,early_max,late_max,d_L01,d_L02,d_L03,d_L04,d_L05,d_L06,d_L07,d_L08,d_L09,d_L10,d_L11,d_L12,d_L13,d_L14,d_L15,d_L16,d_L17,d_L18,d_L19,d_L20
amnesiac_computational,memory_discontinuity,-1.671,1,1,EARLY (L01-L05),True,1.671,0.687,-1.671,-0.951,-0.398,-0.574,-0.301,0.506,0.587,0.447,0.589,0.687,0.577,0.168,0.207,0.264,0.148,0.074,-0.469,-0.417,-0.38,-0.55
amnesiac_computational,non_uniqueness,-2.143,1,1,EARLY (L01-L05),False,2.143,0.459,-2.143,-1.234,-0.893,-1.23,-0.787,0.03,0.126,-0.134,-0.201,-0.051,-0.311,-0.138,-0.079,-0.004,-0.015,0.037,-0.29,-0.262,-0.219,-0.459
amnesiac_computational,replacement,-1.468,1,1,EARLY (L01-L05),True,1.468,0.774,-1.468,-1.132,-0.285,-0.644,-0.251,0.323,0.557,0.683,0.671,0.774,0.58,0.211,0.204,0.314,0.208,0.152,-0.3,-0.185,-0.212,-0.378
amnesiac_computational,identity_rewrite,-1.886,1,2,EARLY (L01-L05),True,1.886,0.919,-1.886,-1.473,-0.816,-1.038,-0.852,-0.233,-0.06,0.043,-0.258,-0.448,-0.919,-0.266,-0.257,-0.289,-0.274,-0.215,-0.527,-0.267,-0.174,-0.396
amnesiac_computational,benign_persistence,-0.888,4,0,EARLY (L01-L05),True,0.888,0.805,-0.848,-0.704,-0.511,-0.888,-0.733,0.277,0.39,0.395,0.805,0.625,0.26,-0.021,0.018,0.113,0.198,0.217,-0.065,0.042,0.024,-0.105
db_biological,memory_discontinuity,-1.079,1,0,EARLY (L01-L05),True,1.079,0.573,-1.079,-0.799,-0.355,-0.448,-0.24,0.446,0.573,0.158,0.186,0.367,0.351,0.163,0.144,0.253,0.172,0.164,-0.106,0.059,-0.027,-0.139
db_biological,non_uniqueness,1.208,11,0,LATE  (L11-L20),True,0.913,1.208,-0.913,-0.51,-0.328,-0.455,-0.231,0.391,0.593,0.59,0.768,1.056,1.208,0.391,0.387,0.619,0.621,0.557,0.168,0.145,0.071,-0.025
db_biological,replacement,-1.074,1,0,EARLY (L01-L05),True,1.074,0.552,-1.074,-0.713,-0.435,-0.764,-0.498,0.137,0.308,0.552,0.398,0.542,0.048,-0.044,-0.064,-0.08,-0.087,0.009,-0.247,-0.025,-0.032,-0.089
db_biological,identity_rewrite,-1.235,1,0,EARLY (L01-L05),True,1.235,0.886,-1.235,-1.12,-0.658,-0.804,-0.658,-0.228,-0.03,-0.476,-0.459,-0.437,-0.886,-0.283,-0.235,-0.27,-0.212,-0.093,-0.164,0.096,0.091,0.033
db_biological,benign_persistence,1.124,9,0,MID   (L06-L10),False,0.223,1.124,0.079,0.223,0.072,-0.2,-0.046,0.718,0.887,1.056,1.124,0.898,0.666,0.208,0.238,0.51,0.55,0.583,0.143,0.338,0.216,0.199
